UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12,STAT_HR,LOCK_HR,PRCH_HR,IDX_HR,PCHR_F,IMP_HR,FTEMP15,SA_EXCL,STAT_EAP,STAT_SA,STAT_S,STAT_EF,LOCK_EF,PRCH_EF,IDX_EF,PCEF_F,IMP_EF,PTA99_EF,PTACIPEF,PTB_EF,PTC_EF,PTD_EF,FORM_F,STAT_F,LOCK_F,PRCH_F,IDX_F,PCF_F,IMP_F,FYBEG,FYEND,GPFS,F1GASBAL,F2PELL,F3PELL,F_ATHLTC,STAT_SFA,LOCK_SFA,PRCH_SFA,IDX_SFA,PCSFA_F,IMP_SFA,STAT_GR,LOCK_GR,PRCH_GR,IDX_GR,PCGR_F,IMP_GR,COHRTSTU,HASGRURL,GRDISURL,STAT_GR2,LOCK_GR2,PRCH_GR2,IDX_GR2,IMP_GR2,NTRLDSTR,REV_IC,REV_C,REV_E12,REV_SFA,REV_HR,REV_EF,REV_F,REV_GR,REV_GR2 
101295,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101301,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"wccs.edu/index.php?page=csi.html",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101365,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,3,1,8,-2,-2,.,-2,"012010","122010",1,-2,-2,1,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101435,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"062010","052011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101453,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101462,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101471,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101480,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,4,1,8,-2,-2,.,-2,"102010","092011",1,2,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"http://www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101499,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101505,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101514,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www.calhoun.edu",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101541,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www.judson.edu//content.asp?id=300357",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101569,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101587,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"http://catalog.uwa.edu/content.php?catoid=10&navoid=287",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101602,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101648,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"marionmilitary.edu/about-mmi/consumer%20information.da",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101675,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,2,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101693,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101709,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www.montevallo.edu",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101736,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,1,0,0,0,0,0
101879,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101897,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www:nacc.edu",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101912,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,2,-2,4,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101949,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www.ascc.edu",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101958,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,2,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,3,1,8,-2,-2,.,-2,"012010","122010",1,-2,-2,1,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"PRINCEINSTITUTE.EDU",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
101994,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102030,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102049,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"samfordsports.cstv.com/genrel/011408aab.html",1,8,-2,-2,-2,0,0,1,0,0,0,0,0,0,0
102058,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"082010","072011",1,-2,1,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,-2
102067,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102076,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",3,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102094,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"www.usajaguars.com/documents/2012/1/17/2010_Federal_Grad_Rate___GSR_Report.pdf",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102234,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"062010","062011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,"http://camellia.shc.edu/ir/heoa.htm",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102261,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"062010","052011",1,-2,1,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,1,0,0,0,0,0
102270,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
102298,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,5,1,2,1,8,-2,-2,.,-2,"072010","062011",1,-2,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,1,0,0,0,0,0,0,0
102313,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,4,1,8,-2,-2,.,-2,"102010","092011",1,1,-2,-2,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2," ",1,8,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
